Disease,Study Name,Eligibility Criteria
Hypertension,Safety and Efficacy of Pulmonary Artery Denervation in Patients With Pulmonary Arterial Hypertension,"Inclusion Criteria:

Provision of informed consent prior to any study specific procedures; Men and women 18 years and older; Group I PAH, defined as a mPAP≥25mmHg, PCWP\<15mmHg and PVR\[The PVR =(mPAP-PCWP)/CO\]\>3.0 Woods unit.

Exclusion Criteria:

General exclusion criteria:

Pregnancy and breast feeding mother; Estimated life expectancy \< 12 months; Scheduled major surgery in the next 6 months; Inability to follow the protocol and comply with follow-up requirements or any other reason that the investigator feels would place the patient at increased risk; Previous enrolment in this study or treatment with an investigational drug or device under another study protocol in the past 30 days.

Procedural exclusion criteria:

WHO group II, III, IV, V PH Severe Renal dysfunction (Ccr\<30 ml/min) Blood platelet count\<100,000/L Expected life span\<6-month Systematical inflammation Malignant cancer(s) Tricuspid valve stenosis, Supra-pulmonary valve stenosis Allergic to studied drugs or metal materials."
Hypertension,EngageRx With Integrated Self-Measurement of Blood Pressure,"Inclusion Criteria:

* Adult patient (18+ years old) with uncontrolled BP in an office visit
* Lowest SBP\>140 or lowest DBP\>90 during the visit at one of the Mt. Zion General Internal Medicine practices
* Speaks English or Spanish

Exclusion Criteria:

* If patient is unlikely to be able to use a home BP monitor
* Cannot understand the verbal consent"
Hypertension,Activity Trackers for Improving BP,"Inclusion Criteria:

* ages 8-30 receiving anti-hypertensive therapy at the time of recruitment.
* diabetes, non-dialysis requiring chronic kidney disease, kidney transplant, or other etiologies of hypertension
* have phones compatible for wireless device (FitBits©) data transmission

Exclusion Criteria:

* history of decompensated congestive heart failure
* pregnant
* cognitive impairment
* unable to perform physical activity
* BP \>180/110 mm Hg
* prisoners
* contraindication to use or wear of home activity tracker (such as allergy to activity tracker band)
* presence of any co-morbidity that would preclude physical activity
* actively using physical activity tracking devices prior to the study will be excluded."
Hypertension,Study Looking at Combination Therapy (Sitaxsentan+Sildenafil) Vs. Monotherapy (Sitaxsentan Alone) SR-PAAS -Sitaxsentan Efficacy And Safety Trial With A Randomized Prospective Assessment Of Adding Sildenafil,"Inclusion Criteria:

* Previously enrolled in B1321001 (NCT00795639) and completed the 12-week study as planned.

Exclusion Criteria:

* Treated with an investigational drug, other than sitaxsentan sodium in B1321001 (NCT00795639), or device that has not received regulatory approval within the 30 days prior to Baseline/Day 1 or during the study."
Hypertension,VasoREACTivity Testing With Intravenous SILdenafil in Patients With Precapillary Pulmonary Hypertension,"Inclusion Criteria:

* Precapillary pulmonary hypertension associated with connective tissue disease
* resting mean pressure in the pulmonary artery of \> 24 mmHg
* resting mean pulmonary capillary wedge pressure (PCWP) of \< 16 mmHg
* age 18 to 80 years
* women of childbearing potential must have a negative pregnancy test (ß-HCG in urine) and must use effective methods of contraception
* women must not be breastfeeding
* ability to understand and sign the informed consent, correctly signed informed consent

Exclusion Criteria:

* pretreatment with Sildenafil
* contraindications for Sildenafil treatment:

  * known intolerance to Sildenafil,
  * optic neuropathy (NAION),
  * known hereditary retina disease,
  * need of nitrate therapy
* advanced liver cirrhosis - CHILD C
* severely reduced renal function with GFR \< 30 ml/min/1,73 m²
* stroke or myocardial infarction within the last 6 months"
Hypertension,Chronobiology of Meal Timing: Effects on Vascular and Renal Function,"Inclusion Criteria:

* Men and Women aged 18-45 years
* Elevated (SBP 120-129; DBP \<80 mmHg) or stage 1 hypertension (SBP 130-139; DBP 80-89 mmHg)

Exclusion Criteria:

* History of chronic disease (CV, lung, cancer, renal, sleep apnea, diabetes, autoimmune)
* Anti-hypertensive medication use
* Currently pregnant or lactating
* Current shift worker
* Travel \>3 time zones four weeks before the start of the study or during the study
* Insomnia
* Practiced intermittent fasting in past six months
* Current nicotine use
* Current hormone replacement therapy
* Current melatonin use
* Current use of antioxidants and unwilling to stop taking them for the duration of the study
* Unable to provide informed consent"
Hypertension,The Effects of Stretching Training on Arterial Function and Autonomic Control,"Inclusion Criteria:

* 50-65 years old
* Blood pressure between 121/81 and 159/99 mmHg
* Body mass index of 25-39.9
* Sedentary or low active (less than 2 hr per wk)

Exclusion Criteria:

* Younger than 50 or older than 65 years of age
* Body mass index lower than 25, or 40 or higher
* Physically active or competitively active
* Smoker
* Systolic blood pressure higher than 160 mmHg
* Use of hormone replacement therapy of less than 1 yr
* Use of calcium channel blocker or beta blockers
* Type 1 diabetes
* Type 2 diabetes
* Known cardiovascular disease"
Hypertension,Nicotinamide and Glaucoma,"Inclusion criteria for glaucoma patients:

* Manifest glaucoma (PEXG, HTG, NTG) in one or two eyes,
* age \> 18 years,
* replicable visual field defects that cannot be explained by any other disease or insult,
* suspect/anomalous optic nerve head or abnormalities in the retinal nerve fiber layer.

Inclusion criteria for age-matched controls:

-A normal visual field and optic nerve, age \> 18 years.

Exclusion criteria for all:

* Any disease affecting retinal function (such as more than mild macular degeneration or diabetic retinopathy), neurological or other non-glaucomatous conditions that may affect the visual field,
* inability to perform a perimetric exam,
* resistance in quitting intake of multivitamins or B-vitamins,
* allergy to NAM or niacin, previous eye surgery involving the central retina,
* pregnant or breast-feeding women,
* fertile women not using reliable contraception,
* diagnosis of cancer in the last five years (not including treated squamous cell carcinoma), anamnesis of liver-disease or peptic ulcer,
* not able to speak and understand either Swedish or English."
Hypertension,Intravenous Beta-blockade for Improvement of Autonomic Activity,"Inclusion Criteria:

* Patients scheduled for coronary artery bypass surgery
* Ejection fraction \> 30 %
* Informed consent

Exclusion Criteria:

* Emergency cases
* Myocardiac infraction within 4 weeks"
Hypertension,Efficacy and Safety of Azilsartan Medoxomil Combined With Chlorthalidone in Participants With Moderate to Severe Hypertension,"Inclusion Criteria:

1. Is treated with antihypertensive therapy and has a post-washout mean sitting clinic systolic blood pressure greater than or equal to 160 and less than or equal to 190 mm Hg on the day prior to randomization, or the participant has not received antihypertensive treatment within 28 days prior to Screening and has a mean sitting clinic systolic blood pressure greater than or equal to 160 and less than or equal to 190 mm Hg at the Screening Visit and on the day prior to randomization.
2. Females of childbearing potential who are sexually active must agree to use adequate contraception, and can neither be pregnant nor lactating from Screening throughout the duration of the study.
3. Has clinical laboratory test results within the reference range for the testing laboratory or the investigator does not consider the results to be clinically significant.
4. Is willing to discontinue current antihypertensive medications on Day -21 or on Day -28 if on amlodipine or chlorthalidone.

Exclusion Criteria:

1. Has a mean sitting clinic diastolic blood pressure greater than 119 mm Hg on the day prior to randomization.
2. Has a baseline 24-hour ambulatory blood pressure measurement reading of insufficient quality.
3. Has works a night (third) shift (defined as 11 PM \[2300\] to 7 AM \[0700\]).
4. Has an upper arm circumference less than 24 cm or greater than 42 cm.
5. Has is noncompliant with study medication during the placebo run-in period.
6. Has secondary hypertension of any etiology.
7. Has recent history of myocardial infarction, heart failure, unstable angina, coronary artery bypass graft, percutaneous coronary intervention, hypertensive encephalopathy, cerebrovascular accident, or transient ischemic attack.
8. Has clinically significant cardiac conduction defects.
9. Has hemodynamically significant left ventricular outflow obstruction due to aortic valvular disease.
10. Has severe renal dysfunction or disease.
11. Has known or suspected unilateral or bilateral renal artery stenosis.
12. Has a history of cancer that has not been in remission for at least 5 years prior to the first dose of study drug.
13. Has poorly controlled type 1 or type 2 diabetes mellitus at Screening.
14. Has hypokalemia or hyperkalemia.
15. Has an alanine aminotransferase or aspartate aminotransferase level of greater than 2.5 times the upper limit of normal, active liver disease, or jaundice.
16. Has any other known serious disease or condition that would compromise safety, might affect life expectancy, or make it difficult to successfully manage and follow Has according to the protocol.
17. Has known hypersensitivity to angiotensin II receptor blockers, thiazide-type diuretics or other sulfonamide-derived compounds.
18. Has been randomized in a previous azilsartan medoxomil study.
19. Is currently participating in another investigational study or is receiving or has received any investigational compound within 30 days prior to Screening.
20. Has a history of drug abuse or a history of alcohol abuse within the past 2 years."
Hypertension,TreatIng Microalbuminuria Over 24 Weeks in Subjects With or Without Type 2 Diabetes or HYpertension,"Inclusion Criteria:

* Age 45 to 80 years
* Persistent urinary albumin:creatinine ratio (UACR) ≥ 2.5 mg/mmol (\~25 mg/g)
* Willing to sign informed consent

Exclusion Criteria:

Diagnosis of type 1 diabetes mellitus

* eGFR \< 25 ml/min/1.73m2
* UACR \> 3500 mg/g
* Concurrent treatment with SGLT2 inhibitor
* Receiving immunosuppressive therapy within 6 months prior to enrolment
* History of diabetic ketoacidosis
* Active malignancy aside from treated squamous cell or basal cell carcinoma of the skin.
* Initiation or changes in the dose of interventions in the renin-angiotensinaldosterone- system, diuretics, GLP-1 receptor agonists within 6 weeks of screening will not be allowed.
* Any medication, surgical or medical condition which might significantly alter the absorption, distribution, metabolism, or excretion of medications including, but not limited to any of the following:

  * History of active inflammatory bowel disease within the last six months;
  * Major gastrointestinal tract surgery such as gastrectomy, gastroenterostomy, or bowel resection;
  * Gastro-intestinal ulcers and/or gastrointestinal or rectal bleeding within last six months;
  * Pancreatic injury or pancreatitis within the last six months;
  * Evidence of hepatic disease as determined by any one of the following: ALT or AST values exceeding 3x ULN at the screening visit, a history of hepatic encephalopathy, a history of esophageal varices, or a history of portocaval shunt;
  * Evidence of urinary obstruction or difficulty in voiding at screening
* History of severe hypersensitivity or contraindications to dapagliflozin
* Subjects who, in the assessment of the investigator, may be at risk for dehydration or volume depletion that may affect the interpretation of efficacy or safety data
* Participation in any clinical intervention study within 3 months prior to initial dosing.
* History of drug or alcohol abuse within the 12 months prior to dosing, or evidence of such abuse as indicated by the laboratory assays conducted during the screening.
* History of noncompliance to medical regimens or unwillingness to comply with the study protocol.
* Any surgical or medical condition, which in the opinion of the investigator, may place the patient at higher risk from his/her participation in the study, or is likely to prevent the patient from complying with the requirements of the study or completing the study.
* Pregnancy or breastfeeding"
Hypertension,Inferior Vena Cava Collapsibility Index Guide for Preoperative Fluid Therapy in Preeclampsia,"Inclusion Criteria:

* Critically ill pre-eclamptic patients for cesarean section

Exclusion Criteria:

* Patient refusal
* severe cardiovascular disease ( ejection fraction \< 40 mmHg ), tricuspid regurge.
* contraindication for spinal anesthesia.
* failure to perform spinal anesthesia.
* severe hepatic.
* renal dysfunction"
Hypertension,A Study to Evaluate Efficacy and Safety Effects Using Mikelan® LA Ophthalmic Solution (OS) 2% Versus Timoptol® XE Ophthalmic Solution (OS) 0.5% in Ocular Hypertension Patients,"Inclusion Criteria:

1. Male or females outpatients with primary open-angle glaucoma or ocular hypertension;
2. Subjects who have received Latanoprost at least 4 weeks, and in the end of screening period, subject's Intra-Ocular Pressure is ≧18mmHg (choice of one eyes is possible), or Investigator judges the reduction of IOP is insufficient of individual subject.
3. Aged between ≧ 20 and ≦80 years old when giving informed consent to the study.

Exclusion Criteria:

1. Hypersensitivity to either oral or topical beta-blocker therapy or to any ophthalmic solution used in the study;
2. Patients wearing contact lenses;
3. Patients with severe dry eyes;
4. Patients who had ophthalmic surgery including cataract surgery, trabeculotomy or trabeculectomy within three months of study start;
5. Patients who had laser trabeculoplasty within 2 months before starting study;
6. Patients who had corneal contamination, and acute ophthalmic infection, or inflammatory ophthalmic disorder 2 months before starting study;
7. Patients who had herpetic keratitis or corneal ulcer within 2 months before starting study;
8. Patient who are receiving systemic administration of drugs that may have and effect on IOP;
9. Patients who have poorly controlled heart failure, sinus bradycardia, atrioventricular block (1 and 2 grade), or cardiogenic shock;
10. Patients with brochial asthma, bronchospasm or severe chronic obstructive pulmonary disease or a history thereof;
11. Patients with poorly controlled diabetes or diabetic ketoacidosis or metabolic acidosis;
12. Patients with aortic stenosis, Raynaud's syndrome, intermittent claudication, or pheochromocytoma;
13. Patients with myasthenia gravis;
14. Patients with severe hepatic or renal disorder judged by investigator;
15. Patients who have confirmed or potential pregnancy, current lactation, or wish to become pregnant during the study period;
16. Patients who have treatment with any investigational drug when giving informed consent;
17. Patients with significant alcohol, drug or medication abuse as judged by investigator;
18. Patients whom investigator judges as subjects to be inappropriate for the clinical study (e.g., patient with severe complication)"
Hypertension,Effectiveness of a mHealth Intervention for the Treatment of Depression in People With Diabetes or Hypertension in Peru,"Inclusion Criteria:

* Age 21 or older
* Presenting depressive symptoms (PHQ9≥10)
* Clinical diagnosis of diabetes and/or hypertension
* Able to read

Exclusion Criteria:

* If pregnant, the diagnosis of hypertension or diabetes is not related to the current pregnancy
* Moderate or severe suicide risk (Level B2 or C measured by S-RAP)"
Hypertension,Study to Determine the Bioequivalence of Two Fixed Dose Combination (FDC) Tablet Formulations of Amlodipine and Losartan FDC5/50 and FDC5/100 Under Fasting Conditions,"Inclusion Criteria:

* Age \& Gender: Male or female between 18 and 65 years of age inclusive, at the time of signing the informed consent.
* Body weight \>= 50 kg and body mass index (BMI) within the range 18.5 to 24.9 kilogram/meter squared.
* Alanine aminotransferase (ALT) alkaline phosphatase and bilirubin \<or=1.5x upper limit of normal (ULN).
* Normal electrocardiogram (ECG) measurements. Average QT duration corrected for heart rate by Fridericia's formula (QTcF) \<450 millisecond (msec) or QTcF \<480 msec in subjects with Bundle Branch Block based on an average from three ECGs obtained over a brief recording period.
* Female subjects of non-child bearing potential. Females of child bearing potential are eligible to enter if they are not pregnant and willing to use protocol-specified methods of contraception to prevent pregnancy.
* Healthy as determined by a responsible and experienced physician, based on a medical Evaluation.
* Capable of giving written informed consent.

Exclusion Criteria:

* The subject has a positive: drug/alcohol screen, Hepatitis, human immunodeficiency virus(HIV) screen
* Subject with systolic blood pressure less than 90 mmHg or diastolic less than 60 mm Hg irrespective of associated symptoms at the time of admission
* If there is a drop in 20 mmHg of systolic pressure (and a 10 mmHg drop in diastolic) and a 20 beats per minute increase in heart rate between supine measurement and after two minutes standing at the time of admission.
* Current or chronic history of liver disease, or known hepatic or biliary abnormalities (with the exception of Gilbert's syndrome or asymptomatic gallstones).
* A positive pre-study drug/alcohol at the time of admission.
* Abuse of alcohol
* Participated in a clinical trial and has received an investigational product within the following time period prior to the first dosing day in the current study: 30 days, 5 half-lives or twice the duration of the biological effect of the investigational product (whichever is longer)
* Exposure to more than four new chemical entities within 12 months prior to the first dosing day.
* Unable to refrain from the use of prescription or non-prescription drugs, including vitamins, herbal and dietary supplements (including St John's Wort) within 7 days (or 14 days if the drug is a potential enzyme inducer) or 5 half-lives (whichever is longer) prior to the first dose of study medication, unless in the opinion of the Investigator and GlaxoSmithKline (GSK) Medical Monitor the medication will not interfere with the study procedures or compromise subject safety.
* History of sensitivity to any of the study medications, or components thereof or a history of drug or other allergy that, in the opinion of the investigator or GSK Medical Monitor, contraindicates their participation.
* Donation of more than 500 milliliter (mL) blood within a 56 day period.
* Pregnant or lactating females.
* Unwillingness or inability to follow the procedures outlined in the protocol.
* Subject is mentally or legally incapacitated.
* History of sensitivity to heparin or heparin-induced thrombocytopenia.
* Subject having positive urinary cotinine levels indicative of use of tobacco or nicotine-containing products within 6 months prior to screening.
* Subjects who have asthma or a history of asthma including childhood asthma.
* Unable to refrain from consumption of red wine, Seville oranges, grapefruit or grapefruit juice from 7 days prior to the first dose."
Hypertension,The Canadian Glaucoma Study,"Inclusion Criteria:

1. Best corrected visual acuity of at least 6/9.
2. Previous visual field examinations showing nerve fibre bundle visual field defects characteristic of open-angle glaucoma and/or previous optic nerve head photographs showing cupping or notching characteristic of open-angle glaucoma.
3. Total visual field damage \[in the eligibility visual field (see Section 6.1)\] of between 2 and 10 dB using the visual field index Mean Deviation.46
4. Access to patient's previous ocular history and availability of initial untreated intraocular pressure (minimum of three readings).

(d) Normal non-closable angles by gonioscopy. (e) Willingness to participate in the study and to give informed consent.

Exclusion Criteria:

1. Non-glaucomatous ocular disease.
2. Systemic disease known to affect the visual field or ability to participate in the study.
3. Systemic beta-blockers.
4. Chronic ocular medication other than for glaucoma.
5. Previous incisional ocular surgery.

(e) Distance refraction exceeding 6.00 diopters equivalent sphere or 2.50 diopters of astigmatism.

(f) Aphakia or pseudophakia. (g) Contact lens wear."
Hypertension,Femoral Peri-arterial Local Anesthetic Injection Decreases Tourniquet Associated Ischemic Hypertension,"Inclusion Criteria:

Patients that will be included in the study are English speaking 18-75 year old ASA 1-3 patients undergoing total ankle arthroplasty.

Exclusion Criteria:

1. ASA 4 or 5
2. Diagnosis of chronic pain
3. Daily chronic opioid use (over 3 months of continuous opioid use).
4. Inability to communicate pain scores or need for analgesia.
5. Infection at the site of block placement
6. Age under 18 years old or greater than 75 years old
7. Pregnant women (as determined by standard of care day-of surgery urine bHCG)
8. Intolerance/allergy to local anesthetics
9. Weight \<50 kg
10. Suspected, or known addiction to or abuse of illicit drug(s), prescription medicine(s), or alcohol within the past 2 years.
11. Uncontrolled anxiety, schizophrenia, or other psychiatric disorder that, in the opinion of the investigator, may interfere with study assessments or compliance.
12. Current or historical evidence of any clinically significant disease or condition that, in the opinion of the investigator, may increase the risk of surgery or complicate the subject's postoperative course"
Hypertension,A Clinical Study to Evaluate the Effects of Darusentan on Safety and Efficacy in Subjects With Resistant Systolic Hypertension Receiving Combination Therapy With Three or More Blood Pressure Lowering Drugs,"Inclusion Criteria:

* Subjects who are competent to provide written consent
* Aged 35 to 85 years
* Subjects with diabetes and/or chronic kidney disease must have a mean systolic blood pressure ≥130 mmHg
* All other subjects must have a mean systolic blood pressure ≥140 mmHg
* Receiving and adhering to full doses of appropriate guideline-recommended antihypertensive drugs from three different classes of antihypertensive agents, including a diuretic
* Female subjects of childbearing potential must have a negative serum pregnancy test at the Screening Visit and a negative urine pregnancy test at the time of Randomization.

Exclusion Criteria:

* Average sitting systolic blood pressure ≥180 mmHg or diastolic blood pressure ≥110 mmHg at Screening
* Serum ALT or AST \>2X ULN
* Subjects who have experienced myocardial infarction, unstable angina, or a cerebrovascular accident (CVA) within 6 month of the Screening Visit; or sick sinus syndrome or second or third degree atrioventricular block, chronic atrial fibrillation or recurrent atrial tachyarrhythmia, recurrent ventricular tachycardia, or symptomatic bradycardia
* Implanted cardioverter defibrillator (ICD) that has fired for any arrhythmia within 3 months of Screening or implanted pacemakers
* Symptomatic CHF requiring treatment
* Hemodynamically significant valvular heart disease
* Hemodialysis or peritoneal dialysis; or history of renal transplant
* Diagnosis or recurrence of malignancy within the past 3 years
* Sleep apnea
* Subjects who perform alternating shift or night work
* Subjects who have participated in a clinical study involving another investigational drug or device within 1 month of the Screening Visit"
Hypertension,Effect of Aterial Stiffness on Myocardial Work in Patients With Hypertension,"Inclusion Criteria:

Age 18-65 years

The diagnostic criteria of hypertension were blood pressure systolic blood pressure ≥140mmHg and/or diastolic blood pressure ≥90mmHg in the clinic or receiving antihypertensive drug treatment

The normal high-value diagnostic criteria for hypertension were systolic blood pressure 130-139mmhg and or diastolic blood pressure 85-90mmhg in the clinic

LVEF \> 50%

Exclusion Criteria:

coronary atherosclerotic heart disease or symptoms of angina

Cardiomyopathy

Valvular heart disease

Diabetes

Atrial fibrillation

Renal function damage

Pregnancy

Secondary hypertension

Chemotherapy for malignant tumors"
Hypertension,"Study of the Efficacy and Safety of the Combination of Two FDA Approved Oral Medications, Nebivolol and Valsartan for Treatment of Stage 1 or 2 Hypertension","Inclusion Criteria:

* Male or female outpatients of age 18 years or above
* Patients diagnosed with stage 1 or stage 2 essential hypertension
* Normal physical examination findings, electrocardiogram (ECG) results and chest x-ray; or abnormal findings judged by the Investigator to be not clinically significant

Exclusion Criteria:

* Secondary hypertension or severe hypertension
* Clinically significant cardiovascular disease or heart failure
* Clinical significant respiratory disease that would prohibit the use of a beta blocker
* A medical contraindication to discontinuing a current antihypertensive therapy
* History of Type 1 diabetes mellitus
* History of Severe Mental Illness except mild depression"
Hypertension,Multi-center Study Assessing the Safety and Efficacy of DE-117 Ophthalmic Solution in Subjects With Primary Open-angle Glaucoma or Ocular Hypertension,"Main Inclusion Criteria:

* Current diagnosis of primary open-angle glaucoma or ocular hypertension in both eyes
* Qualifying intraocular pressure in at least one eye at Baseline
* Qualifying corrected ETDRS visual acuity in each eye
* Qualifying central cornea thickness in each eye

Main Exclusion Criteria:

* Closed/barely open anterior chamber angle or a history of acute angle closure in either eye
* Diagnosis of primary open-angle glaucoma or ocular hypertension due to etiology known to be non-responsive to conventional drug therapy
* Evidence of advanced glaucoma, visual field defect or progressive visual field loss that that do not meet the study criteria
* History of ocular surgery specifically intended to lower IOP
* History of any ocular or systemic abnormality or condition that may put the subject at significant risk, may confound study results, or may interfere significantly with the subject's participation in the study
* Intended or current use of any ocular medications other than study medications during the study
* Use of contact lenses within one week prior to Baseline (Day 1) until end of treatment
* Known allergy or sensitivity to any components of the study medications
* Use of steroids (systemic) within 30 days prior to Visit 1 (Screening)
* Anticipate the need to initiate or modify an existing chronic therapy that could substantially affect IOP or the study outcomes during the study period
* Females who are pregnant, nursing or planning a pregnancy"
Hypertension,Silicone Tube for the Surgical Treatment of Glaucoma,"Inclusion Criteria:Eligible patients were at least 18 years of age and presented with medically uncontrolled POAG requiring incisional surgery for IOP (intraocular pressure) reduction.

-

Exclusion Criteria:Exclusion criteria included narrow angles, normal tension glaucoma, previous eye surgery (except cataract surgery), neovascular glaucoma, uveitis, any ocular abnormality that would preclude accurate IOP assessment, and inability to comply with the follow-up program or unwillingness to participate in this study.

-"
Hypertension,An OS to Evaluate Effectiveness and Safety of Fixed-dose Combinations of FMS/AML or FMS/AML/HCTZ,"* Inclusion Criteria:

  1. Patients who voluntarily consent on the informed consent form and understand the study's purpose, methods, and so on
  2. Males and females over the age of 19
  3. Patients who have been diagnosed with essential hypertension and plan to be treated with fimasartan/amlodipine or fimasartan/amlodipine/hydrochlorothiazide

     If the patient is applicable, one of the following;
     * If the patients have severe hypertension, stage 2 or higher(sit SBP ≥ 160 mmHg or sit DBP ≥ 100 mmHg), or high-risk hypertension (The cardiovascular risk score of the 2018 hypertension treatment guidelines by the Korean Society of Hypertension is applied.) The patients have never been treated with antihypertensive drugs for essential hypertension.
     * If the patients are on concomitant administration of fimasartan/amlodipin and hydrochlorothiazide for essential hypertension or, If the patients are on concomitant administration of a fimasartan/hydrochlorothiazide combination and amlodipine for essential hypertension
     * If the patients have a blood pressure of sitSBP ≥ 140 mmHg or sitDBP ≥ 90 mmHg even though they have been treated with antihypertensive drugs for essential hypertension
  4. The patients who understand this study and are available to participate in this study until the end of the study period with a cooperative attitude.
* Exclusion Criteria:

  1. The patients who are suspected of having secondary hypertension or confirmed to have secondary hypertension
  2. The patients who are contraindicated to taking fimasartan complex according to the drug labelling
  3. The patients who are currently participation in another clinical trials (Drugs or medical devices) The patients who took an investigational drug within 12 weeks of the enrollment date

     However, the following patients can participate in this study:

     The patients who are currently enrolled in non-interventional clinical studies or who are being followed up on after the administration of investigational drugs has ended.
  4. The patients who are not suitable for this study by the investigators"
Hypertension,Miami Healthy Heart Initiative a Behavioral Study on Cardiovascular Risk Factors,"Inclusion Criteria:

* Adult patients age 35-70 years
* Receiving care at ACC clinic (2 visits with a primary care provider in the previous year)
* Living in Miami-Dade county (based on zip codes)
* Had a hemoglobin A1C done within the past year, with the latest value being \>=8.0

Exclusion Criteria:

* Patients whose Primary Doctor believes are not appropriate candidates for participation
* Type 1 diabetics (identified by Primary Doctor or those with diabetes diagnosed when under age 25).
* Patients who do not self identify as Hispanic
* Any life-threatening or extreme medical comorbidity
* Having a diabetes diagnosis for less than a year
* Planning to move out of the neighborhood during the next year
* Participation in any other CVD or diabetes intervention study
* Arm circumference of greater than 47 cm (oscillometric cuffs do not give accurate readings)"
Hypertension,Exhaled Breath Olfactory Signature of Pulmonary Arterial Hypertension,"Inclusion Criteria:

Patients group (Group A)

* Age 18 to 65 years inclusive
* Idiopathic or heritable PAH confirmed by right heart catheterization
* Affiliated to a social security (excluding AME)

Healthy control group (Group B)

* Age 18 to 65 years inclusive
* No known allergy
* No history of known pathology
* No chronic disease in active phase
* No history of respiratory illness
* Not genetically linked with the patient
* Affiliated to a social security (excluding AME)

At risk group (Group C)

* Age between 18 and 65 years old inclusive
* Subjects included in the protocol Delphi2 or Subject satisfying the inclusion and non-inclusion criteria of the DELPHI2 study
* Affiliated to a social security (excluding AME)

Patient group (Group D)

* Age between 18 and 65 years old inclusive
* Post-embolic HTP
* Affiliated to a social security scheme (excluding AME)

Exclusion Criteria:

Any patient/subject presenting :

* Connective tissue disease
* HIV infection
* Portal hypertension
* Congenital heart disease
* Asthma and other coexisting lung diseases
* Pregnant or breastfeeding woman
* Alcohol addiction (if consumption \>3 glasses/day for men and \>2 glasses/day for women)
* Smoking addiction (if consumption \>5 cigarettes/day)
* Having had a CT scan in the week prior to the inclusion visit
* Subjects who have consumed coffee, alcohol, or a cigarette in less than 3 hours"
Hypertension,Augmented Macular Pigment-containing Nutraceutical and Central Visual Function,"Inclusion Criteria:

* Age ≥ 18 years
* Glaucoma diagnosis (H40. \*) with abnormal visual field as measured by 30-2 Humphrey Perimetry (mean deviation \< -2.00)
* Adequate IOP control (IOP \> 7 mmHg and \< 22 mmHg) by medical or surgical means measured by Goldman Applanation Tonometry for at least 3 months
* Visual field progression - decrease (more negative) in MD by 1.00 dB or more when compared to prior HVF)
* Refractive error ≤ 10 diopters and astigmatism ≤ 3 diopters

Exclusion Criteria:

* BCVA worse than 20/200
* Pt Is unable to tolerate MPOD, CS, dermal carotenoid measurement-taking procedures
* Loss of IOP control requires surgical intervention
* Patient already taking AREDS formula oral supplement
* Patient taking medication or dietary supplements that may interact with LM ingredients
* History of photosensitive epilepsy
* History of penetrating ocular trauma or vitrectomy
* History of ocular or orbital radiation therapy or is currently receiving chemotherapy
* Women who are nursing, pregnant, or are planning pregnancy
* Has a known adverse reaction (including sulfa allergy) and/or sensitivity to the study supplement or its ingredients including: N-acetyl-cysteine, acetyl-L-carnitine, L-taurine, quercetin, Co-enzyme Q-10, lutein, meso zeaxanthin, zeaxanthin, astazanthin, lycopene, alpha-lipoic acid.
* Currently enrolled in an investigational drug study or has used an investigational drug within 30 days prior to recruitment.
* Is planning on having ocular surgery at any time throughout the study duration, or had ocular surgery \< 3 months before enrollment
* Native lens opacity ≥ grade 3 on ARLNS standard photograph
* Blue light filter intraocular lens"
Hypertension,Detecting and Treating High Blood Pressure in Aboriginal Population and Low and Middle Income Countries,"Inclusion Criteria:

* Age 18 years or older
* Hypertension
* BP \> 140/90 mmHg or \> 130/80 mmHg if patient has diabetes at the initial screening visit using an approved automated BP monitor.
* If on drug therapy, continuous drug therapy with the same dosing interval for 8 weeks prior to and throughout the screening period. May be drug naive.
* Written informed consent
* Hypertension for at least 12 weeks before screening and throughout the screening period (according to the patient or their medical practitioner)
* Must have a cell phone plan (in Canada) and be willing to maintain the plan during the study. For Tanzania, must have a cell phone under a locally available Tanzanian carrier.
* Must be willing to take occasional local calls from study team members
* One or more of BMI \> 30 kg/m2, diabetes, smoking, over age 40, previous history of CAD including stroke and heart attack
* An identified health care provider in the community (ie. Family Physician/Nurse Practitioner in Canada or Community Nurse/Clinical officer in Tanzania)

Exclusion Criteria:

* Change in antihypertensive medication during the 8 weeks before enrolment
* No cell phone plan compatible with the study.
* Poorly controlled hypertension with BP \> 180/110 mmHg
* No primary health care provider
* Active malignant disease (except non-melanoma skin cancer)
* Unable or unwilling to visit health care provider
* Unable to read the SMS messages (English in Canada and Kiswahili in Tanzania)
* Participation in a clinical trial or receipt of investigational compound or treatment in the 3 months prior to the initial screening visit.
* Planned elective surgery during the study period except for cataract surgery
* \*For BP screening study, must not be on an antihypertensive in the last 6 months."
